月度,对美元汇率
199901,827.7800
199902,827.8900
199903,828.0000
199904,827.9400
199905,827.8600
199906,827.8600
199907,827.7300
199908,827.7100
199909,827.7500
199910,827.7600
199911,827.8900
199912,827.9300
200001,827.8100
200002,827.8600
200003,827.8800
200004,827.9500
200005,827.7200
200006,827.8000
200007,827.9400
200008,827.8800
200009,827.9800
200010,827.8000
200011,827.7400
200012,827.8100
200101,827.8600
200102,827.8100
200103,827.7900
200104,827.7300
200105,827.7700
200106,827.7000
200107,827.6700
200108,827.6700
200109,827.6900
200110,827.6800
200111,827.7400
200112,827.6600
200201,827.6500
200202,827.6600
200203,827.7400
200204,827.7000
200205,827.6600
200206,827.7100
200207,827.6600
200208,827.6700
200209,827.7100
200210,827.7100
200211,827.7200
200212,827.7300
200301,827.6600
200302,827.7400
200303,827.7100
200304,827.7000
200305,827.7000
200306,827.7400
200307,827.7300
200308,827.7100
200309,827.7000
200310,827.6700
200311,827.7200
200312,827.6700
200401,827.7000
200402,827.7000
200403,827.7100
200404,827.6900
200405,827.6900
200406,827.6600
200407,827.6900
200408,827.6700
200409,827.6600
200410,827.6500
200411,827.6500
200412,827.6500
200501,827.6500
200502,827.6500
200503,827.6500
200504,827.6500
200505,827.6500
200506,827.6500
200507,810.8000
200508,809.7300
200509,809.3000
200510,808.4000
200511,807.9600
200512,807.0200
200601,806.0800
200602,804.1500
200603,801.7000
200604,801.6500
200605,801.8800
200606,799.5600
200607,797.3200
200608,795.8500
200609,790.8700
200610,787.9200
200611,784.3600
200612,780.8700
200701,777.7600
200702,774.0900
200703,773.4200
200704,770.5500
200705,765.0600
200706,761.5500
200707,757.3700
200708,756.0700
200709,751.0800
200710,746.9200
200711,739.9700
200712,730.4600
200801,718.5300
200802,710.5800
200803,701.9000
200804,700.0200
200805,694.7200
200806,685.9100
200807,683.8800
200808,683.4500
200809,681.8300
200810,682.5800
200811,683.4900
200812,683.4600
200901,683.8000
200902,683.7900
200903,683.5900
200904,682.5000
200905,683.2400
200906,683.1900
200907,683.2300
200908,683.1200
200909,682.9000
200910,682.8100
200911,682.7200
200912,682.8200
201001,682.7000
201002,682.6900
201003,682.6300
201004,682.6300
201005,682.8000
201006,679.0900
201007,677.5000
201008,681.0500
201009,670.1100
201010,669.0800
201011,667.6200
201012,662.2700
201101,658.9100
201102,657.5200
201103,655.6400
201104,649.9000
201105,648.4500
201106,647.1600
201107,
201108,638.6700
201109,635.4900
201110,632.3300
201111,634.8200
201112,630.0900
201201,631.1500
201202,629.1900
201203,629.4300
201204,627.8700
201205,633.5500
201206,632.4900
201207,633.2000
201208,634.4900
201209,634.1000
201210,630.0200
201211,628.9200
201212,628.5500
201301,627.9500
201302,627.7900
201303,626.8900
201304,622.0800
201305,617.9600
201306,617.8700
201307,617.8800
201308,617.0900
201309,614.8000
201310,614.2500
201311,613.2500
201312,609.6900
201401,610.5000
201402,612.1400
201403,615.2100
201404,615.8000
201405,616.9500
201406,615.2800
201407,616.7500
201408,616.4700
201409,615.2500
201410,614.6100
201411,613.4500
201412,611.9000
201501,613.7000
201502,614.7500
201503,614.2200
201504,611.3700
201505,611.9600
201506,611.3600
201507,611.7200
201508,638.9300
201509,636.1300
201510,634.9500
201511,639.6200
201512,649.3600
201601,655.1600
201602,654.5200
201603,646.1200
201604,645.8900
201605,657.9000
201606,663.1200
201607,665.1100
201608,669.0800
201609,667.7800
201610,676.4100
201611,688.6500
201612,693.7000
201701,685.8800
201702,687.5000
201703,689.9300
201704,689.3100
201705,686.3300
201706,677.4400
201707,672.8300
201708,660.1000
201709,663.6900
201710,663.9700
201711,660.3400
201712,653.4200
201801,633.3900
201802,632.9400
201803,628.8100
201804,633.9300
201805,641.4400
201806,661.6600
201807,681.6500
201808,682.4600
201809,687.9200
201810,696.4600
201811,693.5700
201812,686.3200
201901,670.2500
201902,669.0100
201903,673.3500
201904,672.8600
201905,689.9200
