指标,固定资产投资完成额
Jan-99,456.86
Feb-99,845.19
Mar-99,2022.83
Apr-99,3269.99
May-99,4750.25
Jun-99,6686.57
Jul-99,8297.64
Aug-99,9908.15
Sep-99,11764.17
Oct-99,13746.8
Nov-99,16108.32
Dec-99,22419.04
Jan-00,514.16
Feb-00,954.87
Mar-00,2235.36
Apr-00,3611.19
May-00,5232.62
Jun-00,7537.61
Jul-00,9382.52
Aug-00,11194.68
Sep-00,13470.48
Oct-00,15687.13
Nov-00,18191.01
Dec-00,24242.82
Jan-01,550.87
Feb-01,1130.73
Mar-01,2560.19
Apr-01,4235.73
May-01,6199.14
Jun-01,8928.03
Jul-01,11111.13
Aug-01,13311.23
Sep-01,15919.44
Oct-01,18423.79
Nov-01,21163.72
Dec-01,27826.62
Jan-02,761.08
Feb-02,1407.99
Mar-02,3263.69
Apr-02,5416.42
May-02,7827.64
Jun-02,11103.52
Jul-02,13793.67
Aug-02,16535.09
Sep-02,19788.13
Oct-02,22869.16
Nov-02,26118.54
Dec-02,32941.76
Jan-03,1092.35
Feb-03,1936.44
Mar-03,4478.58
Apr-03,7264.89
May-03,10577.8
Jun-03,15072.64
Jul-03,18753.33
Aug-03,22364.6
Sep-03,26512.58
Oct-03,30466.52
Nov-03,34618.03
Dec-03,42643.42
Jan-04,1557.01
Feb-04,3287.03
Mar-04,7058.48
Apr-04,11047
May-04,15437.2
Jun-04,21843.97
Jul-04,27115.8
Aug-04,32185.95
Sep-04,38028.34
Oct-04,43556.28
Nov-04,49274.32
Dec-04,58620.28
Jan-05,2282.04
Feb-05,4221.78
Mar-05,9036.68
Apr-05,14025
May-05,19719.32
Jun-05,27967
Jul-05,34637.3
Aug-05,41150.9
Sep-05,48741.49
Oct-05,55792.12
Nov-05,63259.85
Dec-05,75096.48
Jan-06,2718.59
Feb-06,5294.1
Mar-06,11608.4
Apr-06,18005.66
May-06,25443.47
Jun-06,36368.35
Jul-06,44771.01
Aug-06,52593.66
Sep-06,61880.12
Oct-06,70070.52
Nov-06,79312.1
Dec-06,93472.36
Jan-07,3532.44
Feb-07,6535.01
Mar-07,14543.61
Apr-07,22594.41
May-07,32044.78
Jun-07,46077.8
Jul-07,56697.93
Aug-07,66659
Sep-07,78246.78
Oct-07,88953.32
Nov-07,100604.61
Dec-07,117413.91
Jan-08,4466.71
Feb-08,8121.29
Mar-08,18316.94
Apr-08,28410.07
May-08,40264.2
Jun-08,58435.98
Jul-08,72160.08
Aug-08,84919.69
Sep-08,99870.71
Oct-08,113189.07
Nov-08,127614.14
Dec-08,148167.25
Jan-09,4597.06
Feb-09,10275.79
Mar-09,23562
Apr-09,37082.3
May-09,53520.32
Jun-09,78098.35
Jul-09,95932.01
Aug-09,112984.79
Sep-09,133176.6
Oct-09,150709.76
Nov-09,168634.21
Dec-09,194138.62
Jan-10,7034.61
Feb-10,13014.03
Mar-10,29792.68
Apr-10,46742.75
May-10,67358.3
Jun-10,98047.38
Jul-10,119866.25
Aug-10,140997.7
Sep-10,165869.58
Oct-10,187556.1
Nov-10,210697.83
Dec-10,241414.93
Jan-11,9900.74
Feb-11,17444.16
Mar-11,39464.91
Apr-11,62716.23
May-11,90254.51
Jun-11,124566.68
Jul-11,152419.86
Aug-11,180607.62
Sep-11,212273.99
Oct-11,241365.09
Nov-11,269452.12
Dec-11,301932.85
Jan-12,9479.21
Feb-12,21188.83
Mar-12,47865.4
Apr-12,75591.6
May-12,108924.21
Jun-12,150710.06
Jul-12,184311.78
Aug-12,217958.07
Sep-12,256932.89
Oct-12,292542
Nov-12,326236.17
Dec-12,364835.07
Jan-13,14483.85
Feb-13,25675.92
Mar-13,58092.28
Apr-13,91319.18
May-13,131210.65
Jun-13,181317.6
Jul-13,221722.23
Aug-13,262578.08
Sep-13,309207.57
Oct-13,351669.25
Nov-13,391282.53
Dec-13,436527.7
Jan-14,17082.73
Feb-14,30283.03
Mar-14,68321.71
Apr-14,107077.83
May-14,153716.49
Jun-14,212770.45
Jul-14,259492.91
Aug-14,305786.48
Sep-14,357787.18
Oct-14,406160.6
Nov-14,451067.58
Dec-14,502004.9
Jan-15,19053.31
Feb-15,34477.41
Mar-15,77511.25
Apr-15,119978.5
May-15,171245.4
Jun-15,237131.87
Jul-15,288468.5
Aug-15,338977.36
Sep-15,394531.04
Oct-15,447424.88
Nov-15,497182.15
Dec-15,551590.04
Jan-16,20004.21
Feb-16,38007.8
Mar-16,85842.83
Apr-16,132591.95
May-16,187670.98
Jun-16,258359.96
Jul-16,311694.33
Aug-16,366339.19
Sep-16,426906.44
Oct-16,484429.02
Nov-16,538547.98
Dec-16,596500.75
Jan-17,20688.94
Feb-17,41377.89
Mar-17,93777.06
Apr-17,144326.84
May-17,203718.27
Jun-17,280604.83
Jul-17,337409.49
Aug-17,394150.13
Sep-17,458478.18
Oct-17,517817.98
Nov-17,575057.05
Dec-17,631683.96
