指标,规模以上工业增加值_当期同比实际增速
Jan-00,8.9
Feb-00,12
Mar-00,11.9
Apr-00,11.4
May-00,11.5
Jun-00,12.2
Jul-00,12.8
Aug-00,12.8
Sep-00,12
Oct-00,11.4
Nov-00,10.6
Dec-00,10.4
Jan-01,2.3
Feb-01,19
Mar-01,12.1
Apr-01,11.5
May-01,10.2
Jun-01,10.1
Jul-01,8.1
Aug-01,8.1
Sep-01,9.5
Oct-01,8.8
Nov-01,7.9
Dec-01,8.7
Jan-02,18.6
Feb-02,2.7
Mar-02,10.9
Apr-02,12.1
May-02,12.9
Jun-02,12.4
Jul-02,12.8
Aug-02,12.7
Sep-02,13.8
Oct-02,14.2
Nov-02,14.5
Dec-02,14.9
Jan-03,14.8
Feb-03,19.8
Mar-03,16.9
Apr-03,14.9
May-03,13.7
Jun-03,16.9
Jul-03,16.5
Aug-03,17.1
Sep-03,16.3
Oct-03,17.2
Nov-03,17.9
Dec-03,18.1
Jan-04,7.2
Feb-04,23.2
Mar-04,19.4
Apr-04,19.1
May-04,17.5
Jun-04,16.2
Jul-04,15.5
Aug-04,15.9
Sep-04,16.1
Oct-04,15.7
Nov-04,14.8
Dec-04,14.4
Jan-05,20.9
Feb-05,7.6
Mar-05,15.1
Apr-05,16
May-05,16.6
Jun-05,16.8
Jul-05,16.1
Aug-05,16
Sep-05,16.5
Oct-05,16.1
Nov-05,16.6
Dec-05,16.5
Jan-06,11.22
Feb-06,20.1
Mar-06,17.8
Apr-06,16.6
May-06,17.9
Jun-06,19.5
Jul-06,16.7
Aug-06,15.7
Sep-06,16.1
Oct-06,14.7
Nov-06,14.9
Dec-06,14.7
Jan-07,24.1
Feb-07,12.6
Mar-07,17.6
Apr-07,17.4
May-07,18.1
Jun-07,19.4
Jul-07,18
Aug-07,17.5
Sep-07,18.9
Oct-07,17.9
Nov-07,17.3
Dec-07,17.4
Jan-08,15.4
Feb-08,15.4
Mar-08,17.8
Apr-08,15.7
May-08,16
Jun-08,16
Jul-08,14.7
Aug-08,12.8
Sep-08,11.4
Oct-08,8.2
Nov-08,5.4
Dec-08,5.7
Jan-09,-2.4
Feb-09,11
Mar-09,8.3
Apr-09,7.3
May-09,8.9
Jun-09,10.7
Jul-09,10.8
Aug-09,12.3
Sep-09,13.9
Oct-09,16.1
Nov-09,19.2
Dec-09,18.5
Jan-10,28.43
Feb-10,12.8
Mar-10,18.1
Apr-10,17.8
May-10,16.5
Jun-10,13.7
Jul-10,13.4
Aug-10,13.9
Sep-10,13.3
Oct-10,13.1
Nov-10,13.3
Dec-10,13.5
Jan-11,13.41
Feb-11,14.9
Mar-11,14.8
Apr-11,13.4
May-11,13.3
Jun-11,15.1
Jul-11,14
Aug-11,13.5
Sep-11,13.8
Oct-11,13.2
Nov-11,12.4
Dec-11,12.8
Jan-12,2.78
Feb-12,21.3
Mar-12,11.9
Apr-12,9.3
May-12,9.6
Jun-12,9.5
Jul-12,9.2
Aug-12,8.9
Sep-12,9.2
Oct-12,9.6
Nov-12,10.1
Dec-12,10.3
Jan-13,19.84
Feb-13,0.23
Mar-13,8.9
Apr-13,9.3
May-13,9.2
Jun-13,8.9
Jul-13,9.7
Aug-13,10.4
Sep-13,10.2
Oct-13,10.3
Nov-13,10
Dec-13,9.7
Jan-14,7.95
Feb-14,9.36
Mar-14,8.8
Apr-14,8.7
May-14,8.8
Jun-14,9.2
Jul-14,9
Aug-14,6.9
Sep-14,8
Oct-14,7.7
Nov-14,7.2
Dec-14,7.9
Jan-15,7.45
Feb-15,6.06
Mar-15,5.6
Apr-15,5.9
May-15,6.1
Jun-15,6.8
Jul-15,6
Aug-15,6.1
Sep-15,5.7
Oct-15,5.6
Nov-15,6.2
Dec-15,5.9
Jan-16,5.4
Feb-16,5.4
Mar-16,6.8
Apr-16,6
May-16,6
Jun-16,6.2
Jul-16,6
Aug-16,6.3
Sep-16,6.1
Oct-16,6.1
Nov-16,6.2
Dec-16,6
Jan-17,6.09
Feb-17,6.55
Mar-17,7.6
Apr-17,6.5
May-17,6.5
Jun-17,7.6
Jul-17,6.4
Aug-17,6
Sep-17,6.6
Oct-17,6.2
Nov-17,6.1
Dec-17,6.2
