月度,广义货币(M2)余额(亿元),银行间同业拆借利率(7天)(%)
199901,105500.3,4.19
199902,107778.4,4.28
199903,108438.2,5.29
199904,109218.3,4.22
199905,110060.9,4.99
199906,111363.5,4.21
199907,111414.1,3.4
199908,112827,2.83
199909,115079.3,2.87
199910,115389.6,2.79
199911,116559.3,2.69
199912,119897.9,2.7
200001,121220.4,2.48
200002,121583,2.56
200003,122580.7,2.49
200004,124121.9,2.4
200005,124053.3,2.38
200006,126605.3,2.37
200007,126323.9,2.37
200008,127790.3,2.36
200009,130473.8,2.34
200010,129522.4,2.34
200011,130994,2.34
200012,134610.3,2.48
200101,137543.6,2.64
200102,136210.2,2.62
200103,138744.5,2.57
200104,139950,2.53
200105,139015.9,2.51
200106,147809.7,2.45
200107,149228.7,2.45
200108,149941.8,2.44
200109,151820.2,2.4
200110,151497.3,2.35
200111,154088.3,2.33
200112,158301.9,2.38
200201,159668.6,2.355
200202,160935.6,2.302
200203,164064.6,2.236
200204,164570.6,2.162
200205,166061,2.118
200206,169601.2,2.031
200207,170851.1,1.989
200208,173250.9,2.005
200209,176982.4,2.101
200210,177294.2,2.091
200211,179736.3,2.103
200212,185007.3,2.235
200301,190188.3,2.161
200302,190108.4,2.132
200303,194487.3,2.06
200304,196130.1,1.97
200305,199505.2,2.02
200306,204931.4,2.1
200307,206193.1,2.15
200308,210591.9,2.2
200309,213567.1,2.68
200310,214469.4,2.83
200311,216351.7,2.57
200312,221222.8,2.24
200401,225101.93,2.36
200402,227050.72,2.27
200403,231654.6,2.08
200404,233627.86,2.31
200405,234842.4,2.24
200406,238427.49,2.41
200407,238127,2.33
200408,239729.19,2.34
200409,243756.9,2.26
200410,243470.3,2.21
200411,247135.58,2.21
200412,253207.7,2.09
200501,257708.5,2.06
200502,259357.3,2.26
200503,264588.9,1.98
200504,266992.66,1.79
200505,269240.5,1.64
200506,275785.53,1.57
200507,276966.3,1.55
200508,281288.22,1.56
200509,287438.27,1.55
200510,287591.61,1.48
200511,292350.39,1.6
200512,298755.48,1.73
200601,303538.6,1.78
200602,304516.3,1.69
200603,310490.7,1.75
200604,313701.8,1.84
200605,316709.8,1.875
200606,322756.4,2.187
200607,324010.8,2.4305
200608,327885.7,2.4612
200609,331865.4,2.395
200610,332747.2,2.58
200611,337504.15,3.2261
200612,345577.91,2.3986
200701,351498.8,2.0308
