Indexcd,Month,Clsidx
1,Jan-99,1134.67
1,Feb-99,1090.09
1,Mar-99,1158.05
1,Apr-99,1120.93
1,May-99,1279.33
1,Jun-99,1689.43
1,Jul-99,1601.46
1,Aug-99,1627.12
1,Sep-99,1570.7
1,Oct-99,1504.56
1,Nov-99,1434.97
1,Dec-99,1366.58
1,Jan-00,1535
1,Feb-00,1714.58
1,Mar-00,1800.22
1,Apr-00,1836.32
1,May-00,1894.55
1,Jun-00,1928.11
1,Jul-00,2023.54
1,Aug-00,2021.2
1,Sep-00,1910.16
1,Oct-00,1961.29
1,Nov-00,2070.61
1,Dec-00,2073.48
1,1-Jan,2065.61
1,1-Feb,1959.18
1,1-Mar,2112.77
1,1-Apr,2119.18
1,1-May,2214.26
1,1-Jun,2218.03
1,1-Jul,1920.32
1,1-Aug,1834.14
1,1-Sep,1764.87
1,1-Oct,1689.17
1,1-Nov,1747.99
1,1-Dec,1645.97
1,2-Jan,1491.67
1,2-Feb,1524.7
1,2-Mar,1603.91
1,2-Apr,1667.75
1,2-May,1515.73
1,2-Jun,1732.76
1,2-Jul,1651.59
1,2-Aug,1666.62
1,2-Sep,1581.62
1,2-Oct,1507.5
1,2-Nov,1434.18
1,2-Dec,1357.65
1,3-Jan,1499.82
1,3-Feb,1511.93
1,3-Mar,1510.58
1,3-Apr,1521.44
1,3-May,1576.26
1,3-Jun,1486.02
1,3-Jul,1476.74
1,3-Aug,1421.98
1,3-Sep,1367.16
1,3-Oct,1348.3
1,3-Nov,1397.23
1,3-Dec,1497.04
1,4-Jan,1590.73
1,4-Feb,1675.07
1,4-Mar,1741.62
1,4-Apr,1595.59
1,4-May,1555.91
1,4-Jun,1399.16
1,4-Jul,1386.2
1,4-Aug,1342.06
1,4-Sep,1396.7
1,4-Oct,1320.54
1,4-Nov,1340.77
1,4-Dec,1266.5
1,5-Jan,1191.82
1,5-Feb,1306
1,5-Mar,1181.24
1,5-Apr,1159.15
1,5-May,1060.74
1,5-Jun,1080.94
1,5-Jul,1083.03
1,5-Aug,1162.8
1,5-Sep,1155.61
1,5-Oct,1092.82
1,5-Nov,1099.26
1,5-Dec,1161.06
1,6-Jan,1258.05
1,6-Feb,1299.03
1,6-Mar,1298.3
1,6-Apr,1440.22
1,6-May,1641.3
1,6-Jun,1672.21
1,6-Jul,1612.73
1,6-Aug,1658.64
1,6-Sep,1752.42
1,6-Oct,1837.99
1,6-Nov,2099.29
1,6-Dec,2675.47
1,7-Jan,2786.34
1,7-Feb,2881.07
1,7-Mar,3183.98
1,7-Apr,3841.27
1,7-May,4109.65
1,7-Jun,3820.7
1,7-Jul,4471.03
1,7-Aug,5218.83
1,7-Sep,5552.3
1,7-Oct,5954.77
1,7-Nov,4871.78
1,7-Dec,5261.56
1,8-Jan,4383.39
1,8-Feb,4348.54
1,8-Mar,3472.71
1,8-Apr,3693.11
1,8-May,3433.35
1,8-Jun,2736.1
1,8-Jul,2775.72
1,8-Aug,2397.37
1,8-Sep,2293.78
1,8-Oct,1728.79
1,8-Nov,1871.16
1,8-Dec,1820.81
1,9-Jan,1990.66
1,9-Feb,2082.85
1,9-Mar,2373.21
1,9-Apr,2477.57
1,9-May,2632.93
1,9-Jun,2959.36
1,9-Jul,3412.06
1,9-Aug,2667.75
1,9-Sep,2779.43
1,9-Oct,2995.85
1,9-Nov,3195.3
1,9-Dec,3277.14
1,10-Jan,2989.29
1,10-Feb,3051.94
1,10-Mar,3109.11
1,10-Apr,2870.61
1,10-May,2592.15
1,10-Jun,2398.37
1,10-Jul,2637.5
1,10-Aug,2638.8
1,10-Sep,2655.66
1,10-Oct,2978.84
1,10-Nov,2820.18
1,10-Dec,2808.08
1,11-Jan,2790.69
1,11-Feb,2905.05
1,11-Mar,2928.11
1,11-Apr,2911.51
1,11-May,2743.47
1,11-Jun,2762.08
1,11-Jul,2701.73
1,11-Aug,2567.34
1,11-Sep,2359.22
1,11-Oct,2468.25
1,11-Nov,2333.41
1,11-Dec,2199.42
1,12-Jan,2292.61
1,12-Feb,2428.49
1,12-Mar,2262.79
1,12-Apr,2396.32
1,12-May,2372.23
1,12-Jun,2225.43
1,12-Jul,2103.63
1,12-Aug,2047.52
1,12-Sep,2086.17
1,12-Oct,2068.88
1,12-Nov,1980.12
1,12-Dec,2269.13
1,13-Jan,2385.42
1,13-Feb,2365.59
1,13-Mar,2236.62
1,13-Apr,2177.91
1,13-May,2300.6
1,13-Jun,1979.21
1,13-Jul,1993.8
1,13-Aug,2098.38
1,13-Sep,2174.67
1,13-Oct,2141.61
1,13-Nov,2220.5
1,13-Dec,2115.98
1,14-Jan,2033.08
1,14-Feb,2056.3
1,14-Mar,2033.31
1,14-Apr,2026.36
1,14-May,2039.21
1,14-Jun,2048.33
1,14-Jul,2201.56
1,14-Aug,2217.2
1,14-Sep,2363.87
1,14-Oct,2420.18
1,14-Nov,2682.84
1,14-Dec,3234.68
1,15-Jan,3210.36
1,15-Feb,3310.3
1,15-Mar,3747.9
1,15-Apr,4441.66
1,15-May,4611.74
1,15-Jun,4277.22
1,15-Jul,3663.73
1,15-Aug,3205.99
1,15-Sep,3052.78
1,15-Oct,3382.56
1,15-Nov,3445.41
1,15-Dec,3539.18
1,16-Jan,2737.6
1,16-Feb,2687.98
1,16-Mar,3003.92
1,16-Apr,2938.32
1,16-May,2916.62
1,16-Jun,2929.61
1,16-Jul,2979.34
1,16-Aug,3085.49
1,16-Sep,3004.7
1,16-Oct,3100.49
1,16-Nov,3250.03
1,16-Dec,3103.64
1,17-Jan,3159.17
1,17-Feb,3241.73
1,17-Mar,3222.51
1,17-Apr,3154.66
1,17-May,3117.18
1,17-Jun,3192.43
1,17-Jul,3273.03
1,17-Aug,3360.81
1,17-Sep,3348.94
1,17-Oct,3393.34
1,17-Nov,3317.19
1,17-Dec,3307.17
2,Jan-99,1208.13
2,Feb-99,1160.58
2,Mar-99,1232.69
2,Apr-99,1192.67
2,May-99,1357.95
2,Jun-99,1790.21
2,Jul-99,1700.24
2,Aug-99,1728.62
2,Sep-99,1668.91
2,Oct-99,1599.04
2,Nov-99,1525.2
2,Dec-99,1451.9
2,Jan-00,1631.52
2,Feb-00,1825.07
2,Mar-00,1915.6
2,Apr-00,1953.86
2,May-00,2012.03
2,Jun-00,2047.7
2,Jul-00,2148.03
2,Aug-00,2144.01
2,Sep-00,2026.36
2,Oct-00,2078.65
2,Nov-00,2194.14
2,Dec-00,2192.38
2,1-Jan,2185.2
2,1-Feb,2069.56
2,1-Mar,2214.69
2,1-Apr,2214.49
2,1-May,2299.71
2,1-Jun,2309.99
2,1-Jul,2006.33
2,1-Aug,1916.43
2,1-Sep,1844.29
2,1-Oct,1762.35
2,1-Nov,1822.84
2,1-Dec,1712.54
2,2-Jan,1555.08
2,2-Feb,1590.18
2,2-Mar,1672.64
2,2-Apr,1742.02
2,2-May,1581.82
2,2-Jun,1809.96
2,2-Jul,1723.56
2,2-Aug,1739.34
2,2-Sep,1650.48
2,2-Oct,1574.93
2,2-Nov,1499.36
2,2-Dec,1419.12
2,3-Jan,1567.29
2,3-Feb,1580.53
2,3-Mar,1579.8
2,3-Apr,1592.2
2,3-May,1650.3
2,3-Jun,1555.91
2,3-Jul,1546.14
2,3-Aug,1490.4
2,3-Sep,1432.36
2,3-Oct,1410.78
2,3-Nov,1461.94
2,3-Dec,1569.13
2,4-Jan,1666.69
2,4-Feb,1755.43
2,4-Mar,1826.5
2,4-Apr,1673.41
2,4-May,1631.66
2,4-Jun,1468.84
2,4-Jul,1454.3
2,4-Aug,1408.13
2,4-Sep,1465.19
2,4-Oct,1385.67
2,4-Nov,1407.72
2,4-Dec,1330.19
2,5-Jan,1251.14
2,5-Feb,1370.97
2,5-Mar,1239.27
2,5-Apr,1216.2
2,5-May,1113.29
2,5-Jun,1135.12
2,5-Jul,1138.69
2,5-Aug,1222.16
2,5-Sep,1214.01
2,5-Oct,1148.88
2,5-Nov,1155.49
2,5-Dec,1220.93
2,6-Jan,1318.91
2,6-Feb,1362.54
2,6-Mar,1361.33
2,6-Apr,1511.71
2,6-May,1724.34
2,6-Jun,1758.06
2,6-Jul,1695.15
2,6-Aug,1743.71
2,6-Sep,1840.31
2,6-Oct,1931.17
2,6-Nov,2206.09
2,6-Dec,2815.13
2,7-Jan,2927.83
2,7-Feb,3025.75
2,7-Mar,3346.35
2,7-Apr,4035.09
2,7-May,4309.97
2,7-Jun,4009.97
2,7-Jul,4689.09
2,7-Aug,5480.11
2,7-Sep,5827.66
2,7-Oct,6251.53
2,7-Nov,5112.13
2,7-Dec,5521.49
2,8-Jan,4600.12
2,8-Feb,4562.78
2,8-Mar,3643.24
2,8-Apr,3875.22
2,8-May,3602.66
2,8-Jun,2869.94
2,8-Jul,2911.65
2,8-Aug,2516.78
2,8-Sep,2408.88
2,8-Oct,1816.31
2,8-Nov,1965.19
2,8-Dec,1911.79
2,9-Jan,2089.9
2,9-Feb,2186.63
2,9-Mar,2490.71
2,9-Apr,2600.61
2,9-May,2763.54
2,9-Jun,3106.59
2,9-Jul,3581.86
2,9-Aug,2799.48
2,9-Sep,2916.73
2,9-Oct,3143.88
2,9-Nov,3351.49
2,9-Dec,3437.46
2,10-Jan,3134.75
2,10-Feb,3200.05
2,10-Mar,3260
2,10-Apr,3009.37
2,10-May,2718.42
2,10-Jun,2514.16
2,10-Jul,2764.36
2,10-Aug,2764.6
2,10-Sep,2782.02
2,10-Oct,3120.8
2,10-Nov,2953.32
2,10-Dec,2940.24
2,11-Jan,2921.82
2,11-Feb,3041.77
2,11-Mar,3065.92
2,11-Apr,3049.19
2,11-May,2873.06
2,11-Jun,2893.53
2,11-Jul,2829.47
2,11-Aug,2689.08
2,11-Sep,2471.1
2,11-Oct,2585.1
2,11-Nov,2444.45
2,11-Dec,2304.12
2,12-Jan,2401.87
2,12-Feb,2543.89
2,12-Mar,2370.07
2,12-Apr,2509.71
2,12-May,2484.91
2,12-Jun,2330.5
2,12-Jul,2203.89
2,12-Aug,2144.3
2,12-Sep,2184.71
2,12-Oct,2166.49
2,12-Nov,2073.24
2,12-Dec,2376.04
